2017-07-20 10:52:22 | 8463 | /index.php | query | e2c7406ea92e839997ec20c1834351d38731b261 | 0.03964 | 0.039666 | SELECT `member_info_id`, `open_id`, `member_mode`, `is_login` FROM `iwide_member_info` WHERE `inter_id` = 'a484619482' AND `open_id` = 'oX3WojklzII6FwXZkN2ob0MpBzHo' AND `member_mode` = 2 AND `is_active` = 't' AND `is_login` = 't' | host=30.iwide.cn:3306 dbname=iwide30vip username=vip
2017-07-20 10:52:22 | 8463 | /index.php | query | e2c7406ea92e839997ec20c1834351d38731b261 | 0.033793 | 0.033819 | SELECT `member_info_id` FROM `iwide_member_info` WHERE `inter_id` = 'a484619482' AND `open_id` = 'oX3WojklzII6FwXZkN2ob0MpBzHo' AND `member_mode` = 1 AND `is_active` = 't' AND `is_login` = 'f' | host=30.iwide.cn:3306 dbname=iwide30vip username=vip
2017-07-20 10:52:22 | 8463 | /index.php | query | e2c7406ea92e839997ec20c1834351d38731b261 | 0.023264 | 0.02329 | SELECT * FROM `iwide_publics` WHERE `inter_id` = 'a484619482' | host=120.76.194.181:3306 dbname=iwide30dev username=iwide30dev
2017-07-20 10:56:51 | 8462 | /index.php | query | e2c7406ea92e839997ec20c1834351d38731b261 | 0.013519 | 0.01354 | SELECT * FROM `iwide_publics` WHERE `inter_id` = 'a484619482' | host=120.76.194.181:3306 dbname=iwide30dev username=iwide30dev
2017-07-20 10:56:52 | 8462 | /index.php | query | e2c7406ea92e839997ec20c1834351d38731b261 | 0.009647 | 0.009673 | SELECT * FROM `iwide_fans` WHERE `openid` = 'oX3WojklzII6FwXZkN2ob0MpBzHo' | host=120.76.194.181:3306 dbname=iwide30dev username=iwide30dev
2017-07-20 10:56:53 | 8462 | /index.php | query | e2c7406ea92e839997ec20c1834351d38731b261 | 0.037233 | 0.03726 | SELECT `member_info_id`, `open_id`, `member_mode`, `is_login` FROM `iwide_member_info` WHERE `inter_id` = 'a484619482' AND `open_id` = 'oX3WojklzII6FwXZkN2ob0MpBzHo' AND `member_mode` = 2 AND `is_active` = 't' AND `is_login` = 't' | host=30.iwide.cn:3306 dbname=iwide30vip username=vip
2017-07-20 10:56:53 | 8462 | /index.php | query | e2c7406ea92e839997ec20c1834351d38731b261 | 0.037137 | 0.037163 | SELECT `member_info_id` FROM `iwide_member_info` WHERE `inter_id` = 'a484619482' AND `open_id` = 'oX3WojklzII6FwXZkN2ob0MpBzHo' AND `member_mode` = 1 AND `is_active` = 't' AND `is_login` = 'f' | host=30.iwide.cn:3306 dbname=iwide30vip username=vip
2017-07-20 10:56:53 | 8462 | /index.php | query | e2c7406ea92e839997ec20c1834351d38731b261 | 0.018021 | 0.018048 | SELECT * FROM `iwide_publics` WHERE `inter_id` = 'a484619482' | host=120.76.194.181:3306 dbname=iwide30dev username=iwide30dev
2017-07-20 10:56:53 | 8462 | /index.php | query | e2c7406ea92e839997ec20c1834351d38731b261 | 0.013235 | 0.01326 | SELECT * FROM `iwide_access_tokens` WHERE `inter_id` = 'a484619482' AND `type` = 1  LIMIT 1 | host=120.76.194.181:3306 dbname=iwide30dev username=iwide30dev
2017-07-20 10:56:53 | 8462 | /index.php | query | e2c7406ea92e839997ec20c1834351d38731b261 | 0.02007 | 0.020096 | SELECT * FROM `iwide_access_tokens` WHERE `inter_id` = 'a484619482' AND `type` =0  LIMIT 1 | host=120.76.194.181:3306 dbname=iwide30dev username=iwide30dev
