2017-07-19 10:58:18 | 8463 | /index.php | query | c3cb816c607ae88c7454020ef80092f8ab6e6332 | 0.009761 | 0.009778 | SELECT * FROM `iwide_publics` WHERE `inter_id` = 'a484619482' | host=120.76.194.181:3306 dbname=iwide30dev username=iwide30dev
2017-07-19 10:58:18 | 8463 | /index.php | query | c3cb816c607ae88c7454020ef80092f8ab6e6332 | 0.009657 | 0.009675 | SELECT * FROM `iwide_publics` WHERE `inter_id` = 'a484619482' | host=120.76.194.181:3306 dbname=iwide30dev username=iwide30dev
2017-07-19 10:58:18 | 8463 | /index.php | query | c3cb816c607ae88c7454020ef80092f8ab6e6332 | 0.01018 | 0.010206 | SELECT * FROM `iwide_publics` WHERE `inter_id` = 'a484619482' | host=120.76.194.181:3306 dbname=iwide30dev username=iwide30dev
2017-07-19 10:59:08 | 8462 | /index.php | query | c3cb816c607ae88c7454020ef80092f8ab6e6332 | 0.010475 | 0.010506 | SELECT * FROM `iwide_publics` WHERE `inter_id` = 'a484619482' | host=120.76.194.181:3306 dbname=iwide30dev username=iwide30dev
2017-07-19 10:59:08 | 8462 | /index.php | query | c3cb816c607ae88c7454020ef80092f8ab6e6332 | 0.014197 | 0.014223 | SELECT * FROM `iwide_fans` WHERE `openid` = 'oX3WojklzII6FwXZkN2ob0MpBzHo' | host=120.76.194.181:3306 dbname=iwide30dev username=iwide30dev
2017-07-19 10:59:08 | 8462 | /index.php | query | c3cb816c607ae88c7454020ef80092f8ab6e6332 | 0.011005 | 0.011032 | SELECT * FROM `iwide_fans` WHERE `openid` = 'oX3WojklzII6FwXZkN2ob0MpBzHo' | host=120.76.194.181:3306 dbname=iwide30dev username=iwide30dev
2017-07-19 10:59:09 | 8462 | /index.php | query | c3cb816c607ae88c7454020ef80092f8ab6e6332 | 0.011004 | 0.011033 | SELECT * FROM `iwide_publics` WHERE `inter_id` = 'a484619482' | host=120.76.194.181:3306 dbname=iwide30dev username=iwide30dev
2017-07-19 11:00:27 | 8463 | /index.php | query | c3cb816c607ae88c7454020ef80092f8ab6e6332 | 0.010171 | 0.0102 | SELECT * FROM `iwide_publics` WHERE `inter_id` = 'a484619482' | host=120.76.194.181:3306 dbname=iwide30dev username=iwide30dev
2017-07-19 11:00:27 | 8463 | /index.php | query | c3cb816c607ae88c7454020ef80092f8ab6e6332 | 0.010092 | 0.010135 | SELECT * FROM `iwide_fans` WHERE `openid` = 'oX3WojklzII6FwXZkN2ob0MpBzHo' | host=120.76.194.181:3306 dbname=iwide30dev username=iwide30dev
2017-07-19 11:00:27 | 8463 | /index.php | query | c3cb816c607ae88c7454020ef80092f8ab6e6332 | 0.010624 | 0.010652 | SELECT * FROM `iwide_fans` WHERE `openid` = 'oX3WojklzII6FwXZkN2ob0MpBzHo' | host=120.76.194.181:3306 dbname=iwide30dev username=iwide30dev
2017-07-19 11:01:57 | 8462 | /index.php | query | c3cb816c607ae88c7454020ef80092f8ab6e6332 | 0.011428 | 0.011457 | SELECT * FROM `iwide_publics` WHERE `inter_id` = 'a484619482' | host=120.76.194.181:3306 dbname=iwide30dev username=iwide30dev
2017-07-19 11:01:57 | 8462 | /index.php | query | c3cb816c607ae88c7454020ef80092f8ab6e6332 | 0.010931 | 0.010961 | SELECT * FROM `iwide_fans` WHERE `openid` = 'oX3WojklzII6FwXZkN2ob0MpBzHo' | host=120.76.194.181:3306 dbname=iwide30dev username=iwide30dev
2017-07-19 11:01:57 | 8462 | /index.php | query | c3cb816c607ae88c7454020ef80092f8ab6e6332 | 0.011171 | 0.011197 | SELECT * FROM `iwide_fans` WHERE `openid` = 'oX3WojklzII6FwXZkN2ob0MpBzHo' | host=120.76.194.181:3306 dbname=iwide30dev username=iwide30dev
2017-07-19 11:01:58 | 8462 | /index.php | query | c3cb816c607ae88c7454020ef80092f8ab6e6332 | 0.02865 | 0.028674 | SELECT `value` FROM `iwide_inter_member_config` WHERE `inter_id` = 'ALL_INTER_ID' AND `type_code` = 'member_auth_gift' | host=30.iwide.cn:3306 dbname=iwide30vip username=vip
